param#0 	 param#1 	 param#2 	 dist 	  wgt 
1.620893 	1.478011 	13.356354 	461581.519958 	0.010000 	
0.592239 	0.043626 	10.654586 	364231.272805 	0.010000 	
0.180383 	0.234274 	14.005899 	142364.407071 	0.010000 	
1.983181 	0.023717 	9.212974 	981479.783046 	0.010000 	
0.714721 	1.604827 	6.207565 	1165315.053891 	0.010000 	
0.957522 	1.540683 	11.760182 	339031.341589 	0.010000 	
2.407462 	1.444309 	16.604561 	914440.282037 	0.010000 	
1.112526 	1.510760 	18.451785 	517379.733842 	0.010000 	
1.918351 	0.152101 	21.899234 	1415813.889134 	0.010000 	
1.896617 	1.939892 	6.694455 	1433880.361108 	0.010000 	
0.848891 	1.652741 	13.454029 	228933.508798 	0.010000 	
1.293188 	0.194730 	14.482847 	328159.431495 	0.010000 	
0.692967 	0.881751 	13.246681 	204489.497780 	0.010000 	
2.375441 	1.276949 	9.203035 	1210807.972272 	0.010000 	
1.865785 	1.052748 	21.771131 	1351004.098910 	0.010000 	
1.831912 	0.414873 	8.520864 	1022881.770040 	0.010000 	
0.512657 	1.059702 	7.378441 	870986.021749 	0.010000 	
2.299070 	0.357007 	18.381765 	1017844.431138 	0.010000 	
0.969916 	0.810426 	20.982400 	881886.578443 	0.010000 	
1.199848 	1.871913 	14.393561 	302156.496456 	0.010000 	
1.246510 	1.751466 	17.827702 	486402.992330 	0.010000 	
1.506520 	0.083032 	17.878548 	587700.160533 	0.010000 	
1.165348 	0.023737 	19.524513 	688344.023895 	0.010000 	
1.448371 	1.114319 	15.922113 	415918.970384 	0.010000 	
0.643425 	0.418611 	6.582880 	1048005.989492 	0.010000 	
0.444781 	0.666283 	16.653754 	234649.957631 	0.010000 	
0.737684 	0.518150 	13.770593 	198284.071158 	0.010000 	
1.965810 	1.428074 	21.787763 	1397893.338079 	0.010000 	
0.931795 	1.962716 	19.156980 	561396.510209 	0.010000 	
0.808964 	1.415128 	22.245670 	1107716.750998 	0.010000 	
0.652993 	0.432802 	9.912934 	462218.724043 	0.010000 	
0.413963 	0.099881 	22.598968 	1156222.124558 	0.010000 	
1.652666 	1.490090 	15.118612 	467034.048639 	0.010000 	
1.707367 	0.546405 	20.436952 	1024090.853631 	0.010000 	
2.112901 	1.557896 	16.005150 	713349.400882 	0.010000 	
1.649042 	1.400778 	20.185326 	947907.769072 	0.010000 	
1.218318 	1.965680 	15.692466 	331621.540280 	0.010000 	
0.574741 	1.877735 	9.638864 	503269.596838 	0.010000 	
1.591501 	0.177923 	7.572909 	1090557.285288 	0.010000 	
1.082245 	1.962438 	8.844717 	721061.256347 	0.010000 	
1.370788 	0.859400 	14.893521 	357675.131142 	0.010000 	
0.400647 	0.468971 	19.991895 	620445.234086 	0.010000 	
1.701840 	0.834362 	16.922473 	575304.721821 	0.010000 	
3.162508 	1.406245 	14.996531 	1381547.284946 	0.010000 	
0.781535 	0.868417 	22.752504 	1230036.923780 	0.010000 	
1.216793 	0.325571 	17.908673 	492992.575096 	0.010000 	
1.329826 	1.032057 	14.550062 	340581.047929 	0.010000 	
2.067302 	1.045971 	20.888137 	1271005.191981 	0.010000 	
1.809305 	1.647639 	21.329484 	1226273.775097 	0.010000 	
2.677918 	0.639666 	19.617030 	1421789.843807 	0.010000 	
0.978544 	1.068677 	21.779653 	1043861.120860 	0.010000 	
0.355295 	1.284928 	18.352439 	380566.256772 	0.010000 	
1.531913 	1.809104 	13.993739 	415050.624373 	0.010000 	
2.309590 	0.296815 	19.206064 	1131964.999140 	0.010000 	
0.692958 	0.617444 	23.821275 	1497343.058422 	0.010000 	
2.189518 	0.646420 	8.240312 	1253920.881228 	0.010000 	
2.739554 	1.578849 	14.738228 	1060803.771657 	0.010000 	
0.415516 	0.646143 	21.911612 	989585.452511 	0.010000 	
0.565227 	0.964029 	16.509262 	237169.164528 	0.010000 	
1.836680 	0.675947 	15.486504 	556898.307135 	0.010000 	
0.584389 	0.100387 	14.477403 	171651.624874 	0.010000 	
1.265051 	0.441729 	7.731938 	949017.021065 	0.010000 	
0.746501 	0.429944 	6.642484 	1050976.708392 	0.010000 	
0.746985 	0.961342 	23.233994 	1343669.920791 	0.010000 	
1.612409 	0.232883 	16.265311 	497407.972381 	0.010000 	
1.840487 	0.947998 	15.678456 	565260.933376 	0.010000 	
1.641555 	0.486019 	16.261254 	508041.157426 	0.010000 	
0.871411 	0.286916 	10.858618 	391281.591801 	0.010000 	
1.127182 	1.851760 	8.609482 	770273.177135 	0.010000 	
1.042671 	0.482561 	17.000724 	361977.395710 	0.010000 	
0.973993 	1.931464 	8.121608 	818827.763423 	0.010000 	
0.444802 	1.955506 	23.041250 	1241103.512112 	0.010000 	
0.195449 	1.848970 	12.390313 	203103.609091 	0.010000 	
0.732837 	1.391611 	7.242453 	934247.626165 	0.010000 	
1.388303 	0.199211 	5.578198 	1464443.565706 	0.010000 	
1.180458 	1.482718 	16.344375 	351459.859058 	0.010000 	
1.411359 	0.391617 	15.482439 	386583.339097 	0.010000 	
0.462422 	1.807169 	14.485101 	160101.155869 	0.010000 	
0.488739 	0.118405 	16.405338 	224958.743972 	0.010000 	
1.119855 	1.589751 	22.679939 	1278248.575705 	0.010000 	
0.378587 	1.737461 	8.433208 	670122.538168 	0.010000 	
1.004449 	1.636446 	6.554499 	1143013.489431 	0.010000 	
0.524283 	1.672366 	12.920026 	197637.562743 	0.010000 	
1.368224 	0.662617 	20.684815 	939401.367192 	0.010000 	
2.892490 	0.645296 	12.875839 	1197400.474363 	0.010000 	
0.371930 	0.609775 	23.079467 	1264111.568776 	0.010000 	
1.640115 	0.578327 	9.098621 	849539.403071 	0.010000 	
0.731913 	0.098424 	15.405112 	210826.226408 	0.010000 	
0.541192 	0.473512 	17.402541 	304361.720836 	0.010000 	
2.405469 	1.872139 	11.767515 	943801.506175 	0.010000 	
2.090911 	1.904922 	11.039239 	829877.158726 	0.010000 	
1.641445 	0.975352 	15.049627 	460712.845060 	0.010000 	
0.530879 	0.448590 	21.077005 	829410.195589 	0.010000 	
1.916286 	1.252368 	9.689276 	893696.785941 	0.010000 	
1.883513 	0.590662 	12.384577 	613805.129100 	0.010000 	
1.701120 	0.556350 	16.436418 	542784.549796 	0.010000 	
1.071086 	1.379972 	13.912910 	268843.877566 	0.010000 	
0.658157 	0.850943 	15.746079 	210364.884480 	0.010000 	
1.787183 	0.847017 	17.871485 	696516.502086 	0.010000 	
1.125234 	1.627940 	12.353026 	341000.632752 	0.010000 	
1.449393 	0.908233 	17.039282 	485938.491753 	0.010104 	
1.637671 	0.545958 	13.763321 	456132.802604 	0.010769 	
0.274319 	0.528131 	18.297186 	374243.785083 	0.009311 	
0.537144 	0.451307 	7.648296 	811735.043062 	0.018818 	
1.707001 	0.179660 	8.224134 	1016505.642505 	0.018662 	
1.677318 	1.469293 	10.932934 	642171.507198 	0.011820 	
1.606987 	0.960635 	18.838106 	732757.461716 	0.010465 	
0.404262 	1.231801 	12.708782 	193396.712296 	0.010968 	
2.140594 	0.440547 	14.257622 	688421.301041 	0.011077 	
1.010139 	0.204290 	20.696102 	844120.259774 	0.015512 	
1.344109 	1.235573 	11.785443 	441873.799743 	0.011301 	
1.299849 	2.095299 	10.525707 	553890.788815 	0.000000 	
0.988493 	1.561753 	20.831673 	849652.067466 	0.015878 	
2.207394 	0.612468 	16.413018 	788264.099671 	0.010266 	
2.071018 	0.499741 	14.423696 	651833.167152 	0.010682 	
1.720125 	2.979184 	20.181546 	965738.781337 	0.000000 	
1.297533 	0.774301 	8.992685 	744511.532441 	0.013952 	
1.277400 	0.902535 	16.492743 	390287.009250 	0.010340 	
1.622457 	3.905225 	11.115127 	628779.524447 	0.000000 	
0.754692 	0.273414 	8.740108 	646758.098537 	0.019079 	
0.234106 	2.171890 	8.675279 	627262.568964 	0.000000 	
1.062442 	0.178441 	7.401298 	953673.695208 	0.022393 	
0.141829 	1.511272 	20.787409 	738153.334352 	0.007966 	
1.921133 	0.226600 	9.759904 	876584.672381 	0.015642 	
1.385375 	0.567571 	9.145992 	747533.245174 	0.014420 	
2.398135 	2.443552 	12.713878 	883685.822828 	0.000000 	
1.350382 	2.242638 	12.486747 	405012.136260 	0.000000 	
0.580837 	3.092349 	12.937235 	213512.244761 	0.000000 	
0.172064 	1.806925 	9.867480 	442496.259752 	0.009838 	
1.671558 	1.732444 	12.822108 	503713.376865 	0.012366 	
1.724364 	1.481820 	10.745096 	681458.848961 	0.011932 	
0.824554 	0.923804 	17.093948 	319637.671447 	0.011275 	
0.146748 	1.231056 	8.881515 	578858.971172 	0.007754 	
0.936387 	0.792312 	8.449718 	736699.317276 	0.015616 	
0.972170 	1.350524 	17.183554 	356429.002325 	0.011911 	
1.365708 	0.483240 	12.824641 	383626.544581 	0.011858 	
0.738130 	1.681427 	11.257322 	339113.953887 	0.014808 	
1.434700 	1.348558 	17.676856 	534623.529043 	0.011027 	
0.652959 	2.404708 	17.682724 	337782.182473 	0.000000 	
0.152250 	0.248147 	19.699614 	564075.498104 	0.007483 	
0.491133 	1.215941 	15.010973 	167449.305158 	0.011061 	
0.774303 	0.148952 	21.157375 	884530.494916 	0.016785 	
1.061211 	0.529621 	16.075845 	306779.924876 	0.011536 	
1.163267 	1.234058 	15.575439 	311358.844299 	0.010833 	
0.670633 	2.294792 	9.798565 	499810.679102 	0.000000 	
1.493662 	1.067972 	15.510282 	416029.697235 	0.009918 	
1.932340 	0.491145 	14.106438 	582907.090081 	0.010743 	
0.313306 	1.583537 	12.249957 	214580.191112 	0.011212 	
0.861816 	2.859330 	8.088290 	815730.420096 	0.000000 	
2.130641 	1.455277 	17.336336 	811486.391657 	0.010837 	
2.378152 	1.378823 	10.551335 	1037287.482223 	0.011962 	
0.946110 	1.582162 	7.466683 	932935.099097 	0.017997 	
1.131704 	0.752533 	17.152348 	396057.250317 	0.010886 	
0.267812 	1.195079 	9.918310 	432207.219831 	0.010490 	
1.960436 	0.045102 	16.501759 	667005.303282 	0.013888 	
0.307912 	1.651407 	9.777026 	457757.563223 	0.012832 	
2.290534 	0.729039 	14.459283 	772306.916242 	0.010124 	
0.944629 	2.085097 	9.484835 	591842.351895 	0.000000 	
1.809913 	2.439513 	17.755168 	689195.560765 	0.000000 	
2.158556 	1.518079 	16.207095 	747940.127345 	0.010833 	
2.230652 	0.303796 	14.063647 	738617.767148 	0.012136 	
1.808370 	0.503616 	13.181446 	543308.307450 	0.011011 	
0.068544 	0.377885 	10.445004 	357662.228334 	0.004326 	
1.165881 	0.157538 	7.696135 	923171.982145 	0.021610 	
0.113137 	2.965845 	18.980164 	442095.428133 	0.000000 	
2.153906 	2.636852 	18.534299 	942763.581293 	0.000000 	
0.082117 	1.764851 	21.851500 	949653.728072 	0.006721 	
0.775741 	1.660262 	18.787722 	483059.778973 	0.015166 	
1.172767 	2.256036 	11.885158 	390100.845491 	0.000000 	
0.932786 	1.366907 	15.821784 	263294.091077 	0.011773 	
0.477156 	1.049876 	7.365701 	869735.030196 	0.016303 	
2.074432 	1.827601 	9.326002 	1030864.785786 	0.015124 	
2.229177 	0.625113 	14.244731 	737200.661030 	0.010380 	
0.718779 	1.090005 	11.989004 	272949.009546 	0.012218 	
0.565694 	0.589105 	14.820528 	172536.089725 	0.011637 	
0.413243 	2.239121 	19.024881 	463854.944766 	0.000000 	
1.464413 	0.275194 	14.743292 	388114.704096 	0.012268 	
2.202935 	0.259587 	11.456274 	840143.269817 	0.013887 	
0.832066 	2.054388 	11.176492 	366972.914636 	0.000000 	
2.129686 	0.436976 	15.592964 	706283.101089 	0.010893 	
0.566573 	1.784244 	15.791039 	199354.804746 	0.014654 	
0.129022 	0.644272 	15.384342 	156759.617837 	0.005390 	
0.614868 	0.670403 	17.590775 	329967.749984 	0.011597 	
1.315857 	1.601440 	20.815796 	936976.611135 	0.015248 	
1.640459 	1.306635 	14.638272 	454818.509448 	0.010127 	
1.830343 	1.237277 	13.381418 	549485.699728 	0.010000 	
1.173048 	2.767980 	11.724593 	407307.539792 	0.000000 	
0.273774 	1.064698 	21.630285 	914344.858424 	0.010846 	
1.120901 	2.121436 	7.937563 	892594.647116 	0.000000 	
2.400103 	0.295249 	10.688557 	1026756.522744 	0.014781 	
1.772743 	0.443565 	18.681436 	785768.022052 	0.011342 	
0.554685 	0.163198 	10.154705 	416921.504731 	0.017754 	
0.535296 	0.460412 	16.962382 	267068.740497 	0.011927 	
1.608760 	1.362794 	18.335139 	669208.091205 	0.011073 	
0.676635 	1.365149 	12.560419 	233192.574801 	0.012494 	
1.390757 	1.285065 	14.619164 	361596.652050 	0.010485 	
1.342656 	1.586795 	10.692404 	544037.229902 	0.013171 	
1.312635 	0.906950 	10.933631 	503506.528185 	0.011803 	
0.895008 	1.453739 	16.705808 	303567.484750 	0.012406 	
0.529753 	1.484240 	15.200026 	175860.499410 	0.012219 	
0.601536 	2.900128 	17.474836 	311159.538731 	0.000000 	
1.178451 	0.920726 	17.274706 	418555.688461 	0.010416 	
1.157543 	0.257877 	18.313761 	521335.244427 	0.015718 	
0.322413 	1.020623 	14.389309 	147430.054574 	0.008202 	
0.486538 	0.361529 	19.281748 	519330.986557 	0.017309 	
0.488275 	1.994079 	19.996332 	615936.240816 	0.019076 	
1.112090 	0.277532 	17.766138 	449328.434477 	0.014896 	
1.562486 	1.306385 	9.751684 	733176.787263 	0.011652 	
0.163811 	2.448918 	8.177949 	716563.107373 	0.000000 	
1.450695 	1.183854 	10.530838 	594835.605503 	0.010370 	
1.788967 	0.519660 	14.030306 	517050.428386 	0.008872 	
0.369866 	0.536042 	17.310351 	279855.172518 	0.011849 	
0.102362 	0.666554 	13.474404 	151080.574411 	0.004327 	
0.516728 	1.420473 	12.828015 	199488.024524 	0.010259 	
1.696536 	0.826560 	14.093296 	477025.834762 	0.008507 	
1.386420 	1.870285 	18.501508 	604404.539108 	0.017016 	
0.273137 	0.407499 	12.790169 	177942.425843 	0.009729 	
0.543745 	1.558143 	20.735517 	753802.912560 	0.015887 	
1.495550 	0.610546 	10.894896 	567922.655566 	0.009529 	
1.002377 	2.166221 	11.149521 	407261.448939 	0.000000 	
1.806404 	1.295367 	12.283958 	587948.279778 	0.009943 	
1.548527 	2.308508 	11.618834 	536034.303794 	0.000000 	
0.078962 	1.865940 	19.492048 	518800.449838 	0.005034 	
1.524562 	0.931738 	11.101461 	561011.632006 	0.009298 	
1.007749 	2.118424 	12.466852 	307893.565073 	0.000000 	
0.761716 	1.667938 	20.412524 	726474.671583 	0.017011 	
1.138591 	1.903966 	12.990689 	314289.587475 	0.015695 	
1.266260 	0.108162 	12.229081 	381263.450809 	0.012883 	
0.751868 	1.075055 	9.947984 	479422.809956 	0.011209 	
1.680612 	1.051466 	11.157853 	618356.549673 	0.009418 	
1.895826 	1.244631 	15.816675 	596330.362966 	0.009705 	
0.679578 	0.627117 	12.891478 	214622.387016 	0.010727 	
1.094303 	1.879250 	19.401057 	635500.007305 	0.018295 	
0.463020 	2.084916 	17.154905 	269598.745750 	0.000000 	
0.354443 	1.872199 	15.678526 	174910.927202 	0.011764 	
0.240229 	0.036521 	19.779878 	581205.668166 	0.019614 	
1.787452 	1.118625 	11.353536 	647170.075990 	0.009542 	
0.431237 	0.340788 	17.037681 	263006.969185 	0.014126 	
1.354688 	0.175729 	12.709331 	384163.348747 	0.011801 	
